Year,Rank,Player,Nationality,Position,Club,Points,League,League Rating,League Top Scorer,League Top Assist Provider,League Best Goalkeeper,League Best Player,UCL,UCL Rating,UCL Top Scorer,UCL Top Assist Provider,UCL Best Goalkeeper,UCL Best Player,Continental Cup,Continental Cup Rating,Continental Cup Top Scorer,Continental Cup Top Assist Provider,Continental Cup Best Goalkeeper,Continental Cup Best Player,WC,WC Rating,WC Top Scorer,WC Top Assist Provider,WC Best Goalkeeper,WC Best Player,Other Rating
2022,1,Karim Benzema,France,Forward,Real Madrid,549,1,7.73,1,0,0,1,1,8.08,1,0,0,1,,,,,,,,,,,,,7.46
2022,2,Sadio Mané,Senegal,Forward,Liverpool,193,0,7.22,0,0,0,0,0,7.03,0,0,0,0,1.0,7.43,0.0,0.0,0.0,1.0,,,,,,,7.56
2022,3,Kevin De Bruyne,Belgium,Midfielder,Manchester City,175,1,7.78,0,0,0,1,0,7.27,0,0,0,0,,,,,,,,,,,,,7.85
2022,4,Robert Lewandowski,Poland,Forward,Bayern Munich,170,1,7.47,1,0,0,0,0,7.84,0,0,0,0,,,,,,,,,,,,,7.69
2022,5,Mohamed Salah,Egypt,Forward,Liverpool,116,0,7.14,1,1,0,0,0,7.0,0,0,0,0,0.0,7.13,0.0,0.0,0.0,0.0,,,,,,,7.11
2022,6,Kylian Mbappé,France,Forward,Paris Saint-Germain,85,1,7.77,1,1,0,1,0,7.41,0,0,0,0,,,,,,,,,,,,,7.9
2022,7,Thibaut Courtois,Belgium,Goalkeeper,Real Madrid,82,1,7.04,0,0,0,0,1,7.48,0,0,1,0,,,,,,,,,,,,,6.9
2022,8,Vinícius Júnior,Brazil,Midfielder,Real Madrid,61,1,7.35,0,0,0,0,1,7.27,0,1,0,0,,,,,,,,,,,,,6.87
2022,9,Luka Modrić,Croatia,Midfielder,Real Madrid,20,1,7.19,0,0,0,0,1,7.11,0,0,0,0,,,,,,,,,,,,,7.38
2022,10,Erling Haaland,Norway,Forward,Borussia Dortmund,18,0,7.66,0,0,0,0,0,7.0,0,0,0,0,,,,,,,,,,,,,7.73
2022,11,Son Heung-min,South Korea,Forward,Tottenham Hotspur,5,0,7.5,1,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,7.2
2022,12,Riyad Mahrez,Algeria,Midfielder,Manchester City,4,1,7.27,0,0,0,0,0,7.68,0,0,0,0,0.0,7.03,0.0,0.0,0.0,0.0,,,,,,,7.78
2022,13,Sébastien Haller,Ivory Coast,Forward,Ajax,2,1,7.3,1,0,0,0,0,7.78,0,0,0,0,0.0,6.98,0.0,0.0,0.0,0.0,,,,,,,6.94
2022,14,Fabinho,Brazil,Midfielder,Liverpool,2,0,6.96,0,0,0,0,0,7.05,0,0,0,0,,,,,,,,,,,,,7.19
2022,14,Rafael Leão,Portugal,Forward,AC Milan,2,1,7.19,0,0,0,1,0,6.7,0,0,0,0,,,,,,,,,,,,,6.94
2022,16,Virgil van Dijk,Netherlands,Defender,Liverpool,1,0,7.26,0,0,0,0,0,7.2,0,0,0,0,,,,,,,,,,,,,7.37
2022,17,Casemiro,Brazil,Midfielder,Real Madrid,1,1,7.34,0,0,0,0,1,7.07,0,0,0,0,,,,,,,,,,,,,7.17
2022,17,Luis Díaz,Colombia,Midfielder,Liverpool,1,0,7.37,0,0,0,0,0,6.96,0,0,0,0,,,,,,,,,,,,,6.93
2022,17,Dušan Vlahović,Serbia,Forward,Juventus,1,0,7.23,0,0,0,0,0,6.9,0,0,0,0,,,,,,,,,,,,,7.37
2022,20,Cristiano Ronaldo,Portugal,Forward,Manchester United,0,0,7.24,0,0,0,0,0,7.54,0,0,0,0,,,,,,,,,,,,,7.37
2022,21,Harry Kane,England,Forward,Tottenham Hotspur,0,0,7.38,0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,7.49
2022,22,Trent Alexander-Arnold,England,Defender,Liverpool,0,0,7.65,0,0,0,0,0,7.44,0,0,0,0,,,,,,,,,,,,,7.6
2022,22,Phil Foden,England,Midfielder,Manchester City,0,1,7.3,0,0,0,0,0,7.11,0,0,0,0,,,,,,,,,,,,,7.57
2022,22,Bernardo Silva,Portugal,Midfielder,Manchester City,0,1,7.16,0,0,0,0,0,6.95,0,0,0,0,,,,,,,,,,,,,7.07
2022,25,João Cancelo,Portugal,Defender,Manchester City,0,1,7.33,0,0,0,0,0,7.49,0,0,0,0,,,,,,,,,,,,,7.26
2022,25,Joshua Kimmich,Germany,Midfielder,Bayern Munich,0,1,7.79,0,0,0,0,0,7.66,0,0,0,0,,,,,,,,,,,,,7.68
2022,25,Mike Maignan,France,Goalkeeper,AC Milan,0,1,7.15,0,0,1,0,0,6.83,0,0,0,0,,,,,,,,,,,,,6.88
2022,25,Christopher Nkunku,France,Forward,RB Leipzig,0,0,7.59,0,0,0,1,0,7.87,0,0,0,0,,,,,,,,,,,,,7.39
2022,25,Darwin Núñez,Uruguay,Forward,Benfica,0,0,7.48,1,0,0,1,0,7.06,0,0,0,0,,,,,,,,,,,,,6.76
2022,25,Antonio Rüdiger,Germany,Defender,Chelsea,0,0,7.11,0,0,0,0,0,7.08,0,0,0,0,,,,,,,,,,,,,7.27
2023,1,Lionel Messi,Argentina,Forward,Inter Miami,462,1,8.11,0,1,0,0,0,7.93,0,0,0,0,,,,,,,1.0,8.27,0.0,1.0,0.0,1.0,8.49
2023,2,Erling Haaland,Norway,Forward,Manchester City,357,1,7.36,1,0,0,1,1,7.41,1,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.2
2023,3,Kylian Mbappé,France,Forward,Paris Saint-Germain,270,1,7.42,1,0,0,1,0,7.53,0,0,0,0,,,,,,,0.0,7.61,1.0,0.0,0.0,0.0,8.01
2023,4,Kevin De Bruyne,Belgium,Midfielder,Manchester City,100,1,7.78,0,1,0,0,1,7.61,0,1,0,0,,,,,,,0.0,7.2,0.0,0.0,0.0,0.0,7.74
2023,5,Rodri,Spain,Midfielder,Manchester City,57,1,7.32,0,0,0,0,1,7.4,0,0,0,1,,,,,,,0.0,7.6,0.0,0.0,0.0,0.0,7.26
2023,6,Vinícius Júnior,Brazil,Forward,Real Madrid,49,0,7.05,0,0,0,0,0,7.11,0,0,0,0,,,,,,,0.0,7.0,0.0,0.0,0.0,0.0,7.25
2023,7,Julián Álvarez,Argentina,Forward,Manchester City,28,1,6.9,0,0,0,0,1,7.07,0,0,0,0,,,,,,,1.0,7.0,0.0,0.0,0.0,0.0,7.19
2023,8,Victor Osimhen,Nigeria,Forward,Napoli,24,1,7.2,1,0,0,0,0,7.35,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.38
2023,9,Bernardo Silva,Portugal,Midfielder,Manchester City,20,1,6.89,0,0,0,0,1,7.17,0,0,0,0,,,,,,,0.0,6.66,0.0,0.0,0.0,0.0,6.93
2023,10,Luka Modrić,Croatia,Midfielder,Real Madrid,19,0,6.95,0,0,0,0,0,7.07,0,0,0,0,,,,,,,0.0,7.24,0.0,0.0,0.0,0.0,7.25
2023,11,Mohamed Salah,Egypt,Forward,Liverpool,13,0,7.15,0,0,0,0,0,7.7,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.42
2023,12,Robert Lewandowski,Poland,Forward,Barcelona,12,1,7.33,1,0,0,0,0,7.98,0,0,0,0,,,,,,,0.0,7.05,0.0,0.0,0.0,0.0,7.19
2023,13,Yassine Bounou,Morocco,Goalkeeper,Sevilla,10,0,6.68,0,0,0,0,0,6.38,0,0,0,0,,,,,,,0.0,6.98,0.0,0.0,0.0,0.0,6.97
2023,14,İlkay Gündoğan,Germany,Midfielder,Manchester City,8,1,7.13,0,0,0,0,1,7.08,0,0,0,0,,,,,,,0.0,7.2,0.0,0.0,0.0,0.0,7.02
2023,15,Emiliano Martínez,Argentina,Goalkeeper,Aston Villa,7,0,6.99,0,0,0,0,0,0.0,0,0,0,0,,,,,,,1.0,6.74,0.0,0.0,1.0,0.0,7.04
2023,16,Karim Benzema,France,Forward,Real Madrid,6,0,7.47,0,0,0,0,0,7.16,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.67
2023,17,Khvicha Kvaratskhelia,Georgia,Forward,Napoli,6,1,7.3,0,1,0,1,0,7.04,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.4
2023,18,Jude Bellingham,England,Midfielder,Borussia Dortmund,5,0,7.4,0,0,0,1,0,7.23,0,0,0,0,,,,,,,0.0,7.34,0.0,0.0,0.0,0.0,7.23
2023,19,Harry Kane,England,Forward,Tottenham Hotspur,4,0,7.44,0,0,0,0,0,6.99,0,0,0,0,,,,,,,0.0,7.22,0.0,1.0,0.0,0.0,7.28
2023,20,Lautaro Martínez,Argentina,Forward,Inter Milan,4,0,7.23,0,0,0,0,0,7.0,0,0,0,0,,,,,,,1.0,6.35,0.0,0.0,0.0,0.0,7.21
2023,21,Antoine Griezmann,France,Forward,Atlético Madrid,4,0,7.74,0,1,0,0,0,7.23,0,0,0,0,,,,,,,0.0,7.7,0.0,1.0,0.0,0.0,7.46
2023,22,Kim Min-jae,South Korea,Defender,Napoli,3,1,7.22,0,0,0,0,0,7.21,0,0,0,0,,,,,,,0.0,6.83,0.0,0.0,0.0,0.0,6.85
2023,23,André Onana,Cameroon,Goalkeeper,Inter Milan,2,0,6.99,0,0,0,0,0,7.41,0,0,0,0,,,,,,,0.0,6.7,0.0,0.0,0.0,0.0,7.18
2023,24,Bukayo Saka,England,Forward,Arsenal,1,0,7.31,0,0,0,0,0,0.0,0,0,0,0,,,,,,,0.0,7.6,0.0,0.0,0.0,0.0,7.23
2023,25,Joško Gvardiol,Croatia,Defender,RB Leipzig,1,0,6.94,0,0,0,0,0,6.97,0,0,0,0,,,,,,,0.0,7.16,0.0,0.0,0.0,0.0,6.88
2023,26,Jamal Musiala,Germany,Midfielder,Bayern Munich,0,1,7.05,0,0,0,0,0,6.77,0,0,0,0,,,,,,,0.0,6.77,0.0,0.0,0.0,0.0,7.22
2023,27,Nicolò Barella,Italy,Midfielder,Inter Milan,0,0,7.08,0,0,0,0,0,6.98,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.96
2023,28,Randal Kolo Muani,France,Forward,Eintracht Frankfurt,0,0,7.08,0,0,0,0,0,6.59,0,0,0,0,,,,,,,0.0,7.03,0.0,0.0,0.0,0.0,7.02
2023,28,Martin Ødegaard,Norway,Midfielder,Arsenal,0,0,7.35,0,0,0,0,0,0.0,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.03
2023,30,Rúben Dias,Portugal,Defender,Manchester City,0,1,6.98,0,0,0,0,1,7.41,0,0,0,0,,,,,,,0.0,6.65,0.0,0.0,0.0,0.0,7.22
2024,1,Rodri,Spain,Midfielder,Manchester City,1170,1,8.01,0,0,0,0,0,7.86,0,0,0,0,1.0,7.25,0.0,0.0,0.0,1.0,,,,,,,7.89
2024,2,Vinícius Júnior,Brazil,Forward,Real Madrid,1129,1,7.33,0,0,0,0,1,7.66,0,0,0,1,0.0,7.2,0.0,0.0,0.0,0.0,,,,,,,7.19
2024,3,Jude Bellingham,England,Midfielder,Real Madrid,917,1,8.05,0,0,0,1,1,7.74,0,1,0,0,0.0,7.4,0.0,0.0,0.0,0.0,,,,,,,7.8
2024,4,Dani Carvajal,Spain,Defender,Real Madrid,550,1,7.23,0,0,0,0,1,7.12,0,0,0,0,1.0,7.18,0.0,0.0,0.0,0.0,,,,,,,7.53
2024,5,Erling Haaland,Norway,Forward,Manchester City,432,1,7.36,1,0,0,0,0,7.21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.23
2024,6,Kylian Mbappé,France,Forward,Paris Saint-Germain,420,1,7.89,1,0,0,1,0,7.69,1,0,0,0,0.0,7.44,0.0,0.0,0.0,0.0,,,,,,,8.16
2024,7,Lautaro Martínez,Argentina,Forward,Inter Milan,402,1,7.5,1,0,0,1,0,6.85,0,0,0,0,1.0,7.12,1.0,0.0,0.0,0.0,,,,,,,7.25
2024,8,Lamine Yamal,Spain,Forward,Barcelona,383,0,7.34,0,0,0,0,0,7.24,0,0,0,0,1.0,7.36,0.0,1.0,0.0,0.0,,,,,,,7.42
2024,9,Toni Kroos,Germany,Midfielder,Real Madrid,291,1,7.63,0,0,0,0,1,7.44,0,0,0,0,0.0,7.76,0.0,0.0,0.0,0.0,,,,,,,7.75
2024,10,Harry Kane,England,Forward,Bayern Munich,201,0,7.76,1,0,0,0,0,7.62,1,0,0,0,0.0,6.99,1.0,0.0,0.0,0.0,,,,,,,7.24
2024,11,Phil Foden,England,Midfielder,Manchester City,157,1,7.79,0,0,0,1,0,8.04,0,0,0,0,0.0,7.1,0.0,0.0,0.0,0.0,,,,,,,7.37
2024,12,Florian Wirtz,Germany,Midfielder,Bayer Leverkusen,101,1,7.63,0,0,0,1,0,0.0,0,0,0,0,0.0,7.42,0.0,0.0,0.0,0.0,,,,,,,7.45
2024,13,Dani Olmo,Spain,Midfielder,RB Leipzig,86,0,7.21,0,0,0,0,0,7.3,0,0,0,0,1.0,7.77,1.0,0.0,0.0,0.0,,,,,,,8.6
2024,14,Ademola Lookman,Nigeria,Forward,Atalanta,82,0,7.25,0,0,0,0,0,0.0,0,0,0,0,0.0,7.23,0.0,0.0,0.0,0.0,,,,,,,7.42
2024,15,Nico Williams,Spain,Forward,Athletic Bilbao,73,0,7.1,0,0,0,0,0,0.0,0,0,0,0,1.0,7.27,0.0,0.0,0.0,0.0,,,,,,,7.66
2024,16,Granit Xhaka,Switzerland,Midfielder,Bayer Leverkusen,60,1,7.49,0,0,0,0,0,0.0,0,0,0,0,0.0,7.4,0.0,0.0,0.0,0.0,,,,,,,7.37
2024,17,Federico Valverde,Uruguay,Midfielder,Real Madrid,58,1,7.38,0,0,0,0,1,7.1,0,0,0,0,0.0,7.65,0.0,0.0,0.0,0.0,,,,,,,7.19
2024,18,Emiliano Martínez,Argentina,Goalkeeper,Aston Villa,28,0,7.1,0,0,0,0,0,0.0,0,0,0,0,1.0,7.43,0.0,0.0,1.0,0.0,,,,,,,7.06
2024,19,Martin Ødegaard,Norway,Midfielder,Arsenal,16,0,7.67,0,0,0,0,0,7.33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.43
2024,20,Hakan Çalhanoğlu,Turkey,Midfielder,Inter Milan,15,1,7.68,0,0,0,0,0,7.38,0,0,0,0,0.0,7.15,0.0,0.0,0.0,0.0,,,,,,,7.52
2024,21,Bukayo Saka,England,Forward,Arsenal,14,0,7.72,0,0,0,0,0,7.71,0,0,0,0,0.0,7.1,0.0,0.0,0.0,0.0,,,,,,,6.86
2024,22,Antonio Rüdiger,Germany,Defender,Real Madrid,13,1,6.93,0,0,0,0,1,7.08,0,0,0,0,0.0,7.3,0.0,0.0,0.0,0.0,,,,,,,6.83
2024,23,Rúben Dias,Portugal,Defender,Manchester City,8,1,7.21,0,0,0,0,0,7.18,0,0,0,0,0.0,7.3,0.0,0.0,0.0,0.0,,,,,,,7.22
2024,24,William Saliba,France,Defender,Arsenal,8,0,7.04,0,0,0,0,0,6.78,0,0,0,0,0.0,7.08,0.0,0.0,0.0,0.0,,,,,,,6.88
2024,25,Cole Palmer,England,Forward,Chelsea,7,0,7.7,0,0,0,0,0,0.0,0,0,0,0,0.0,6.9,0.0,0.0,0.0,0.0,,,,,,,7.43
2024,26,Declan Rice,England,Midfielder,Arsenal,5,0,7.43,0,0,0,0,0,7.22,0,0,0,0,0.0,7.39,0.0,0.0,0.0,0.0,,,,,,,7.01
2024,27,Vitinha,Portugal,Midfielder,Paris Saint-Germain,5,1,7.49,0,0,0,0,0,7.48,0,0,0,0,0.0,7.35,0.0,0.0,0.0,0.0,,,,,,,7.25
2024,28,Álex Grimaldo,Spain,Defender,Bayer Leverkusen,2,1,7.75,0,1,0,0,0,0.0,0,0,0,0,1.0,7.3,0.0,0.0,0.0,0.0,,,,,,,7.41
2024,29,Artem Dovbyk,Ukraine,Forward,Girona,0,0,7.2,1,0,0,0,0,0.0,0,0,0,0,0.0,6.97,0.0,0.0,0.0,0.0,,,,,,,6.84
2024,29,Mats Hummels,Germany,Defender,Borussia Dortmund,0,0,7.05,0,0,0,0,0,7.35,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.33
2025,1,Ousmane Dembélé,France,Forward,Paris Saint-Germain,1380,1,7.75,1,0,0,1,1,7.63,0,0,0,1,,,,,,,,,,,,,7.69
2025,2,Lamine Yamal,Spain,Forward,Barcelona,1059,1,7.79,0,1,0,0,0,7.69,0,0,0,0,,,,,,,,,,,,,7.93
2025,3,Vitinha,Portugal,Midfielder,Paris Saint-Germain,703,1,7.47,0,0,0,0,1,7.5,0,0,0,0,,,,,,,,,,,,,7.52
2025,4,Mohamed Salah,Egypt,Forward,Liverpool,657,1,7.78,1,1,0,1,0,7.43,0,0,0,0,,,,,,,,,,,,,7.38
2025,5,Raphinha,Brazil,Forward,Barcelona,620,1,7.8,0,0,0,1,0,8.24,1,1,0,0,,,,,,,,,,,,,7.65
2025,6,Achraf Hakimi,Morocco,Defender,Paris Saint-Germain,484,1,7.76,0,0,0,0,1,7.55,0,0,0,0,,,,,,,,,,,,,7.57
2025,7,Kylian Mbappé,France,Forward,Real Madrid,378,0,7.7,1,0,0,0,0,7.28,0,0,0,0,,,,,,,,,,,,,7.59
2025,8,Cole Palmer,England,Forward,Chelsea,211,0,7.63,0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,7.34
2025,9,Gianluigi Donnarumma,Italy,Goalkeeper,Paris Saint-Germain,172,1,6.92,0,0,0,0,1,7.1,0,0,1,0,,,,,,,,,,,,,7.02
2025,10,Nuno Mendes,Portugal,Defender,Paris Saint-Germain,171,1,7.29,0,0,0,0,1,7.38,0,0,0,0,,,,,,,,,,,,,7.43
2025,11,Pedri,Spain,Midfielder,Barcelona,124,1,7.59,0,0,0,0,0,7.43,0,0,0,0,,,,,,,,,,,,,7.27
2025,12,Khvicha Kvaratskhelia,Georgia,Forward,Napoli  Paris Saint-Germain,123,1,7.36,0,0,0,0,1,7.59,0,0,0,0,,,,,,,,,,,,,7.66
2025,13,Harry Kane,England,Forward,Bayern Munich,112,1,7.73,1,0,0,1,0,7.7,0,0,0,0,,,,,,,,,,,,,7.36
2025,14,Désiré Doué,France,Midfielder,Paris Saint-Germain,74,1,7.32,0,0,0,0,1,7.37,0,0,0,0,,,,,,,,,,,,,7.49
2025,15,Viktor Gyökeres,Sweden,Forward,Sporting CP,56,1,8.0,1,0,0,1,0,7.36,0,0,0,0,,,,,,,,,,,,,8.14
2025,16,Vinícius Júnior,Brazil,Forward,Real Madrid,51,0,7.37,0,0,0,0,0,7.49,0,0,0,0,,,,,,,,,,,,,7.18
2025,17,Robert Lewandowski,Poland,Forward,Barcelona,49,1,7.27,0,0,0,0,0,7.41,0,0,0,0,,,,,,,,,,,,,7.16
2025,18,Scott McTominay,Scotland,Midfielder,Manchester United  Napoli,45,1,7.22,0,0,0,1,0,0.0,0,0,0,0,,,,,,,,,,,,,6.96
2025,19,João Neves,Portugal,Midfielder,Paris Saint-Germain,40,1,7.45,0,0,0,0,1,7.36,0,0,0,0,,,,,,,,,,,,,7.13
2025,20,Lautaro Martínez,Argentina,Forward,Inter Milan,37,0,7.2,0,0,0,0,0,7.31,0,0,0,0,,,,,,,,,,,,,7.29
2025,21,Serhou Guirassy,Guinea,Forward,Borussia Dortmund,25,0,7.26,0,0,0,0,0,7.44,1,0,0,0,,,,,,,,,,,,,7.48
2025,22,Alexis Mac Allister,Argentina,Midfielder,Liverpool,21,1,7.24,0,0,0,0,0,7.54,0,0,0,0,,,,,,,,,,,,,6.91
2025,23,Jude Bellingham,England,Midfielder,Real Madrid,21,0,7.45,0,0,0,0,0,7.37,0,0,0,0,,,,,,,,,,,,,7.75
2025,24,Fabián Ruiz,Spain,Midfielder,Paris Saint-Germain,20,1,7.27,0,0,0,0,1,7.17,0,0,0,0,,,,,,,,,,,,,7.38
2025,25,Denzel Dumfries,Netherlands,Defender,Inter Milan,20,0,7.03,0,0,0,0,0,7.18,0,0,0,0,,,,,,,,,,,,,7.26
2025,26,Erling Haaland,Norway,Forward,Manchester City,18,0,7.27,0,0,0,0,0,7.41,0,0,0,0,,,,,,,,,,,,,7.43
2025,27,Declan Rice,England,Midfielder,Arsenal,13,0,7.36,0,0,0,0,0,7.33,0,0,0,0,,,,,,,,,,,,,7.56
2025,28,Virgil van Dijk,Netherlands,Defender,Liverpool,7,1,7.28,0,0,0,0,0,7.31,0,0,0,0,,,,,,,,,,,,,7.46
2025,29,Florian Wirtz,Germany,Midfielder,Bayer Leverkusen,5,0,7.68,0,0,0,0,0,7.84,0,0,0,0,,,,,,,,,,,,,7.53
2025,30,Michael Olise,France,Forward,Bayern Munich,4,1,7.91,0,1,0,0,0,7.62,0,0,0,0,,,,,,,,,,,,,7.4
